title,object_name,url,video_id,category,is_moving,ra,dec,ra_decimal,dec_decimal,simbad_name,has_transcript,notes
"Once Around Barnards Loop","Barnards Loop",https://www.youtube.com/watch?v=qzFKgsPpI3A,qzFKgsPpI3A,fixed,false,"05 27 30.0","-03 58 00",81.875000,-3.966667,"Barnard's Loop",true,
"Once Around Janus and Epimetheus","Janus and Epimetheus",https://www.youtube.com/watch?v=TrEDNXYnygY,TrEDNXYnygY,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Schwassmann-Wachmann-1","Schwassmann-Wachmann-1",https://www.youtube.com/watch?v=sI_ZR2t1Xog,sI_ZR2t1Xog,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Iota Horologii","Iota Horologii",https://www.youtube.com/watch?v=ZnKXuy3THcU,ZnKXuy3THcU,fixed,false,"02 42 33.4666679022","-50 48 01.055138166",40.639444,-50.800293,"iota Hor",true,
"Once Around Magnetars","Magnetars",https://www.youtube.com/watch?v=FQStyUQDBek,FQStyUQDBek,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around JuMBOs","JuMBOs",https://www.youtube.com/watch?v=xefdFcTAbBk,xefdFcTAbBk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Antistars","Antistars",https://www.youtube.com/watch?v=NiFMhqDOTCs,NiFMhqDOTCs,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Tychos Supernova","Tychos Supernova",https://www.youtube.com/watch?v=1h6y6L_uIWE,1h6y6L_uIWE,fixed,false,"00 25 21.5","+64 08 27",6.339583,64.140833,"SN 1572",true,
"Once Around the Moons of Neptune","the Moons of Neptune",https://www.youtube.com/watch?v=h7AbMQFwojM,h7AbMQFwojM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Moons of Mars","the Moons of Mars",https://www.youtube.com/watch?v=3eoqEq-5x-c,3eoqEq-5x-c,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around the Horsehead Nebula","the Horsehead Nebula",https://www.youtube.com/watch?v=ba9Z3JG12Ps,ba9Z3JG12Ps,fixed,false,"05 40 59.0","-02 27 30",85.245833,-2.458333,"Horsehead Nebula",true,
"Once Around The Centre of The Universe","The Centre of The Universe",https://www.youtube.com/watch?v=3fsnoxzbc8s,3fsnoxzbc8s,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Orion Nebula","The Orion Nebula",https://www.youtube.com/watch?v=ko9q8SgsZh4,ko9q8SgsZh4,fixed,false,"05 35 16.8","-05 23 15",83.820000,-5.387500,"M42",true,
"Once Around The Helix Nebula","The Helix Nebula",https://www.youtube.com/watch?v=X-vey2P7xUc,X-vey2P7xUc,fixed,false,"22 29 38.5454047152","-20 50 13.747242408",337.410606,-20.837152,"NGC 7293",true,
"Once Around Nova 1934 DQ Herculis","Nova 1934 DQ Herculis",https://www.youtube.com/watch?v=kvPhQdQW6m8,kvPhQdQW6m8,fixed,false,"18 07 30.2510391864","+45 51 32.564791872",271.876046,45.859046,"DQ Her",true,
"Once Around GK Persei","GK Persei",https://www.youtube.com/watch?v=G7sCv6biYnE,G7sCv6biYnE,fixed,false,"03 31 12.0098863320","+43 54 15.469951212",52.800041,43.904297,"GK Per",true,
"Once Around Westerlund 1","Westerlund 1",https://www.youtube.com/watch?v=HsVv8vWgDBI,HsVv8vWgDBI,fixed,false,"16 47 02.4","-45 51 07",251.760000,-45.851944,"Westerlund 1",true,
"Once Around Varuna","Varuna",https://www.youtube.com/watch?v=G3Thlzt2gMc,G3Thlzt2gMc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Stephenson 2-18","Stephenson 2-18",https://www.youtube.com/watch?v=25_KHaw0ouY,25_KHaw0ouY,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around the IceCube Observatory","the IceCube Observatory",https://www.youtube.com/watch?v=a1BgWLQsaik,a1BgWLQsaik,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around Ixion","Ixion",https://www.youtube.com/watch?v=8t00exL7LLM,8t00exL7LLM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gonggong","Gonggong",https://www.youtube.com/watch?v=8PQv-mVU_48,8PQv-mVU_48,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Achlys","Achlys",https://www.youtube.com/watch?v=tWzYNMLFZo4,tWzYNMLFZo4,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Orcus","Orcus",https://www.youtube.com/watch?v=i3_7D_6btRc,i3_7D_6btRc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 876","Gliese 876",https://www.youtube.com/watch?v=CyuezQh0gcQ,CyuezQh0gcQ,fixed,false,"22 53 16.7325836486","-14 15 49.304052185",343.319719,-14.263696,"GJ 876",true,
"Once Around Makemake","Makemake",https://www.youtube.com/watch?v=uULlBgqG6aA,uULlBgqG6aA,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 229","Gliese 229",https://www.youtube.com/watch?v=vA4q0zDhyoM,vA4q0zDhyoM,fixed,false,"06 10 34.6149358167","-21 51 52.656352926",92.644229,-21.864627,"GJ 229",true,
"Once Around Quaoar","Quaoar",https://www.youtube.com/watch?v=urGaNgShdBQ,urGaNgShdBQ,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Gliese 581","Gliese 581",https://www.youtube.com/watch?v=rTf1fyTKZIY,rTf1fyTKZIY,fixed,false,"15 19 26.8269387505","-07 43 20.189497466",229.861779,-7.722275,"GJ 581",true,
"Once Around Huamea","Huamea",https://www.youtube.com/watch?v=BgfADu5ouhc,BgfADu5ouhc,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Eris","Eris",https://www.youtube.com/watch?v=ZcyUeQ3JWBg,ZcyUeQ3JWBg,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around a Trio of Glieses","a Trio of Glieses",https://www.youtube.com/watch?v=DrNs0e3bnlk,DrNs0e3bnlk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Triton","Triton",https://www.youtube.com/watch?v=DLQAcuukgVQ,DLQAcuukgVQ,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around SIMP 0136","SIMP 0136",https://www.youtube.com/watch?v=B6CLI63DTgQ,B6CLI63DTgQ,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around Antares","Antares",https://www.youtube.com/watch?v=cHQv8tCPi6Q,cHQv8tCPi6Q,fixed,false,"16 29 24.45970","-26 25 55.2094",247.351915,-26.432003,"Antares",true,
"Once Around the Moons of Pluto","the Moons of Pluto",https://www.youtube.com/watch?v=j73r0seUqZM,j73r0seUqZM,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Rigel","Rigel",https://www.youtube.com/watch?v=gOrYdNpHWWk,gOrYdNpHWWk,fixed,false,"05 14 32.27210","-08 12 05.8981",78.634467,-8.201638,"Rigel",true,
"Once Around Wolf Rayet Stars","Wolf Rayet Stars",https://www.youtube.com/watch?v=_f2o3QfK92Y,_f2o3QfK92Y,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Canopus","Canopus",https://www.youtube.com/watch?v=Tpa8iHwbuSM,Tpa8iHwbuSM,fixed,false,"06 23 57.10988","-52 41 44.3810",95.987958,-52.695661,"Canopus",true,
"Once Around the North America Nebula","the North America Nebula",https://www.youtube.com/watch?v=m2791HFOx-c,m2791HFOx-c,fixed,false,"20 58 47.0","+44 19 48",314.695833,44.330000,"NGC 7000",true,
"Once Around Trappist 1","Trappist 1",https://www.youtube.com/watch?v=tJKpcibbMX8,tJKpcibbMX8,fixed,false,"23 06 29.3684948589","-05 02 29.037301866",346.622369,-5.041399,"TRAPPIST-1",true,
"Once Around Pismis 24 1","Pismis 24 1",https://www.youtube.com/watch?v=or4MCjF4r9A,or4MCjF4r9A,fixed,false,,,,,,true,"Could not parse coordinates"
"Once Around Triangulum","Triangulum",https://www.youtube.com/watch?v=-22EhpUdGU8,-22EhpUdGU8,fixed,false,"01 33 50.8965749232","+30 39 36.630403128",23.462069,30.660175,"M33",true,
"Once Around Iron Stars","Iron Stars",https://www.youtube.com/watch?v=AJvkNMJ5cdw,AJvkNMJ5cdw,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Nova 1670","Nova 1670",https://www.youtube.com/watch?v=9q5hc5gSpvU,9q5hc5gSpvU,fixed,false,"19 47 37.9577343864","+27 18 41.792401368",296.908157,27.311609,"CK Vul",true,
"Once Around The Cosmic Owl","The Cosmic Owl",https://www.youtube.com/watch?v=hyI_pPs2sKM,hyI_pPs2sKM,fixed,false,"01 19 32.4","+58 16 40",19.885000,58.277778,"NGC 457",true,
"Once Around Ross 128","Ross 128",https://www.youtube.com/watch?v=ASQP1ZOxFWA,ASQP1ZOxFWA,fixed,false,"11 47 44.3972681420","+00 48 16.400337591",176.934989,0.804556,"Ross 128",true,
"Once Around Teleios","Teleios",https://www.youtube.com/watch?v=b_huX7icWjQ,b_huX7icWjQ,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around Piazzi's Flying Star","Piazzi's Flying Star",https://www.youtube.com/watch?v=s_M-7bDzZ6o,s_M-7bDzZ6o,fixed,false,"21 06 53.95","+38 44 57.9",316.724792,38.749417,"61 Cyg",true,
"Once Around Luytens star","Luytens star",https://www.youtube.com/watch?v=tH1OwgpCM1k,tH1OwgpCM1k,fixed,false,"07 27 24.4989685603","+05 13 32.841491057",111.852079,5.225789,"Luyten's Star",true,
"Once Around Procyon","Procyon",https://www.youtube.com/watch?v=QVc-un92TQM,QVc-un92TQM,fixed,false,"07 39 18.11950","+05 13 29.9552",114.825498,5.224988,"Procyon",true,
"Once Around Wolf 359","Wolf 359",https://www.youtube.com/watch?v=mjXl2YFNLX8,mjXl2YFNLX8,fixed,false,"10 56 28.9208702274","+07 00 53.003285286",164.120504,7.014723,"Wolf 359",true,
"Once Around SN1181","SN1181",https://www.youtube.com/watch?v=vPTvqoqAs20,vPTvqoqAs20,fixed,false,"02 05 35.73","+64 49 41.3",31.398875,64.828139,"SN 1181",true,
"Once Around 3I ATLAS: Interstellar Comet","3I ATLAS: Interstellar Comet",https://www.youtube.com/watch?v=lyIomzwJEAA,lyIomzwJEAA,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around The Andromeda Galaxy","The Andromeda Galaxy",https://www.youtube.com/watch?v=rdhW3kMWJbU,rdhW3kMWJbU,fixed,false,"00 42 44.330","+41 16 07.50",10.684708,41.268750,"M31",true,
"Once Around the Most Massive White Dwarf","the Most Massive White Dwarf",https://www.youtube.com/watch?v=vtJv21gbJxk,vtJv21gbJxk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around The Ring Nebula","The Ring Nebula",https://www.youtube.com/watch?v=kR2ROwjIs98,kR2ROwjIs98,fixed,false,"18 53 35.0967659112","+33 01 44.883287544",283.396237,33.029134,"M57",true,
"Once Around Epsilon Lyrae","Epsilon Lyrae",https://www.youtube.com/watch?v=BbOrWeC3boo,BbOrWeC3boo,fixed,false,"18 44 20.34589","+39 40 12.4533",281.084775,39.670126,"eps1 Lyr",true,
"Once Around V838 Monocerotis","V838 Monocerotis",https://www.youtube.com/watch?v=j4pofxYKsfg,j4pofxYKsfg,fixed,false,"07 04 04.8221494992","-03 50 50.648894412",106.020092,-3.847402,"V838 Mon",true,
"Once Around Cor Caroli","Cor Caroli",https://www.youtube.com/watch?v=wN0KEVdzLI0,wN0KEVdzLI0,fixed,false,"12 56 01.6655889007","+38 19 06.155170512",194.006940,38.318376,"alpha2 CVn",true,
"Once Around Gamma Andromeda","Gamma Andromeda",https://www.youtube.com/watch?v=2dZgQn-9n2Q,2dZgQn-9n2Q,fixed,false,"02 03 53.95229","+42 19 47.0223",30.974801,42.329728,"gamma And",true,
"Once Around Epsilon Indi","Epsilon Indi",https://www.youtube.com/watch?v=IuBYBHU3XpQ,IuBYBHU3XpQ,fixed,false,"22 03 21.6536261624","-56 47 09.522795714",330.840223,-56.785979,"eps Ind",true,
"Once Around R136a1","R136a1",https://www.youtube.com/watch?v=sW0a9hWc_xY,sW0a9hWc_xY,fixed,false,"05 38 42.396","-69 06 03.36",84.676650,-69.100933,"Brey 82",true,
"Once Around Fomalhaut","Fomalhaut",https://www.youtube.com/watch?v=F5puFTHy0Lo,F5puFTHy0Lo,fixed,false,"22 57 39.04625","-29 37 20.0533",344.412693,-29.622237,"Fomalhaut",true,
"Once Around Beta Lyrae","Beta Lyrae",https://www.youtube.com/watch?v=ZO_i2SNDrXw,ZO_i2SNDrXw,fixed,false,"18 50 04.7951442356","+33 21 45.600371200",282.519980,33.362667,"beta Lyr",true,
"Once Around The Garnet Star","The Garnet Star",https://www.youtube.com/watch?v=esH5I1m46sk,esH5I1m46sk,fixed,false,"21 43 30.4595558543","+58 46 48.165937434",325.876915,58.780046,"mu Cep",true,
"Once Around Mira","Mira",https://www.youtube.com/watch?v=N09uNWcY7Nk,N09uNWcY7Nk,fixed,false,"02 19 20.79210","-02 58 39.4956",34.836634,-2.977638,"Mira",true,
"Once Around Gaia's Black Holes","Gaia's Black Holes",https://www.youtube.com/watch?v=mYM9KMp1Qn0,mYM9KMp1Qn0,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Kapteyn's Star","Kapteyn's Star",https://www.youtube.com/watch?v=LQxpAm4pFyk,LQxpAm4pFyk,fixed,false,"05 11 40.5898395497","-45 01 06.361734876",77.919124,-45.018434,"Kapteyn's Star",true,
"Once Around the Glatton Meteorite","the Glatton Meteorite",https://www.youtube.com/watch?v=ANmEFhDjJHo,ANmEFhDjJHo,fixed,false,,,,,,true,"No SIMBAD equivalent"
"Once Around QB1","QB1",https://www.youtube.com/watch?v=7MX76GfvKyE,7MX76GfvKyE,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once around Pollux","Pollux",https://www.youtube.com/watch?v=xX8jxrSc_ok,xX8jxrSc_ok,fixed,false,"07 45 18.94987","+28 01 34.3160",116.328958,28.026199,"Pollux",true,
"Once Around Castor","Castor",https://www.youtube.com/watch?v=_BKLCYu_yR8,_BKLCYu_yR8,fixed,false,"07 34 35.87319","+31 53 17.8160",113.649472,31.888282,"Castor",true,
"Once Around The Pistol Star","The Pistol Star",https://www.youtube.com/watch?v=GMs7oqvHJ9w,GMs7oqvHJ9w,fixed,false,"17 46 15.240","-28 50 03.58",266.563500,-28.834328,"Pistol Star",true,
"Once Around The Magellanic Clouds","The Magellanic Clouds",https://www.youtube.com/watch?v=mr-4qx4TonI,mr-4qx4TonI,fixed,false,"05 23 34.6","-69 45 22",80.894167,-69.756111,"LMC",true,
"Once Around The Goblin","The Goblin",https://www.youtube.com/watch?v=kFVpcocENxI,kFVpcocENxI,moving,true,,,,,,true,"Use JPL Horizons for ephemeris"
"Once Around Shell Galaxies","Shell Galaxies",https://www.youtube.com/watch?v=i6jKHegMJwk,i6jKHegMJwk,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Giant Elliptical Galaxies","Giant Elliptical Galaxies",https://www.youtube.com/watch?v=IVD6PcZ2TH4,IVD6PcZ2TH4,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Globular Clusters","Globular Clusters",https://www.youtube.com/watch?v=slswRT_Uk88,slswRT_Uk88,concept,false,,,,,,true,"Class of objects, no single position"
"Once Around Nemesis, Tyche and Nibiru","Nemesis, Tyche and Nibiru",https://www.youtube.com/watch?v=eI6K0Ci_v7U,eI6K0Ci_v7U,concept,false,,,,,,true,"Class of objects, no single position"
