video_id,title,object_name,ra,dec,is_moving,url
qzFKgsPpI3A,"Once Around Barnards Loop","Barnards Loop",81.875000,-3.966667,false,https://www.youtube.com/watch?v=qzFKgsPpI3A
TrEDNXYnygY,"Once Around Janus and Epimetheus","Janus and Epimetheus",357.842792,-3.352889,true,https://www.youtube.com/watch?v=TrEDNXYnygY
ZnKXuy3THcU,"Once Around Iota Horologii","Iota Horologii",40.639444,-50.800293,false,https://www.youtube.com/watch?v=ZnKXuy3THcU
1h6y6L_uIWE,"Once Around Tychos Supernova","Tychos Supernova",6.339583,64.140833,false,https://www.youtube.com/watch?v=1h6y6L_uIWE
h7AbMQFwojM,"Once Around the Moons of Neptune","the Moons of Neptune",359.931375,-1.473583,true,https://www.youtube.com/watch?v=h7AbMQFwojM
3eoqEq-5x-c,"Once Around the Moons of Mars","the Moons of Mars",294.303375,-22.536139,true,https://www.youtube.com/watch?v=3eoqEq-5x-c
ba9Z3JG12Ps,"Once Around the Horsehead Nebula","the Horsehead Nebula",85.245833,-2.458333,false,https://www.youtube.com/watch?v=ba9Z3JG12Ps
ko9q8SgsZh4,"Once Around The Orion Nebula","The Orion Nebula",83.820000,-5.387500,false,https://www.youtube.com/watch?v=ko9q8SgsZh4
X-vey2P7xUc,"Once Around The Helix Nebula","The Helix Nebula",337.410606,-20.837152,false,https://www.youtube.com/watch?v=X-vey2P7xUc
kvPhQdQW6m8,"Once Around Nova 1934 DQ Herculis","Nova 1934 DQ Herculis",271.876046,45.859046,false,https://www.youtube.com/watch?v=kvPhQdQW6m8
G7sCv6biYnE,"Once Around GK Persei","GK Persei",52.800041,43.904297,false,https://www.youtube.com/watch?v=G7sCv6biYnE
HsVv8vWgDBI,"Once Around Westerlund 1","Westerlund 1",251.760000,-45.851944,false,https://www.youtube.com/watch?v=HsVv8vWgDBI
G3Thlzt2gMc,"Once Around Varuna","Varuna",135.455542,26.952639,true,https://www.youtube.com/watch?v=G3Thlzt2gMc
8t00exL7LLM,"Once Around Ixion","Ixion",278.443583,-31.833500,true,https://www.youtube.com/watch?v=8t00exL7LLM
8PQv-mVU_48,"Once Around Gonggong","Gonggong",337.165792,-10.444194,true,https://www.youtube.com/watch?v=8PQv-mVU_48
i3_7D_6btRc,"Once Around Orcus","Orcus",160.764417,-13.979472,true,https://www.youtube.com/watch?v=i3_7D_6btRc
CyuezQh0gcQ,"Once Around Gliese 876","Gliese 876",343.319719,-14.263696,false,https://www.youtube.com/watch?v=CyuezQh0gcQ
uULlBgqG6aA,"Once Around Makemake","Makemake",202.364417,20.238556,true,https://www.youtube.com/watch?v=uULlBgqG6aA
vA4q0zDhyoM,"Once Around Gliese 229","Gliese 229",92.644229,-21.864627,false,https://www.youtube.com/watch?v=vA4q0zDhyoM
urGaNgShdBQ,"Once Around Quaoar","Quaoar",281.278708,-15.197889,true,https://www.youtube.com/watch?v=urGaNgShdBQ
