    28 BD-06  6357     59    3    443 000520.15 -054228.2  4.61  33       Psc
    87 BD+12  5063     75    4    476 000541.94 +132346.6  5.55  86       Peg
   144 BD+63  2107     94    7    531 000626.53 +641146.2  5.57  10       Cas
   315 BD-03     2    114   11    635 000744.10 -023255.3  6.43   4       Cet
   352 BD-03     3    124   14    664 000812.09 -022651.7  6.18   5       Cet
   358 BD+28     4    127   15    677 000823.17 +290527.0  2.07  21 alf   And
   432 BD+58     3    147   21    746 000910.09 +590900.8  2.28  11 bet   Cas
   448 BD+17     7    144   22    729 000902.34 +181243.3  5.57  87       Peg
   493 CD-28    16    155   24    761 000921.02 -275916.5  5.42     kap01 Scl
   496 CD-46    18    158   25    765 000924.54 -454449.2  3.88     eps   Phe
   560 BD+10     8    167   26    813 001002.18 +110844.9  5.54  34       Psc
   571 BD+45    17    169   27    841 001019.24 +460420.2  5.01  22       And
   636 CP-82     4    173   30    814 001002.27 -821326.4  5.29     gam03 Oct
   693 BD-16    17    190   33    910 001115.91 -152802.4  4.89   6       Cet
   720 CD-28    26    197   34    930 001134.42 -274759.2  5.41     kap02 Scl
   739 CD-35    42    202   35    950 001143.89 -350800.2  5.24     the   Scl
   886 BD+14    14    238   39   1067 001314.15 +151101.0  2.83  88 gam   Peg
   905 BD+40    29    244   41   1086 001330.94 +410208.6  5.71  23       And
  1013 BD+19    27    270   45   1168 001436.11 +201224.1  4.79  89 chi   Peg
  1038 BD-19    21    272   48   1170 001438.43 -185557.7  4.44   7       Cet
  1061 BD+08    19    287   50   1196 001458.78 +084915.7  6.02  35       Psc
  1227 BD+07    27    315   59   1319 001634.06 +081424.7  6.12  36       Psc
  1280 BD+37    34    334   63   1366 001705.54 +384054.0  4.61  24 the   And
  1317 BD+08    24    340        1392 001724.50 +085234.8  6.66  38       Psc
  1337 BD+50    46    345   65   1415 001743.07 +512559.1  6.11     AO    Cas
  1404 BD+35    44    362   68   1473 001819.71 +364707.2  4.51  25 sig   And
  1438 BD+42    48    376   70   1501 001842.15 +434728.1  6.10  26       And
  1522 BD-09    48    388   74   1562 001925.68 -084925.8  3.56   8 iot   Cet
  1563 BD+15    47    398        1595 001956.28 +161503.2  6.60  40       Psc
  1581 CP-65    13    401   77   1599 002001.91 -645239.4  4.23     zet   Tuc
  1635 BD+07    36    413   80   1645 002035.86 +081124.9  5.38  41 d     Psc
  1671 BD+37    45    425   82   1686 002107.23 +375807.3  5.16  27 rho   And
  1685 CP-70    12    420   83   1647 002039.04 -693729.7  5.50     pi.   Tuc
  1737 CD-29    86    433   84   1708 002131.18 -285852.7  5.18     iot   Scl
  1760 BD-20    50    437   85   1728 002146.23 -200328.8  5.61     T     Cet
  1796 BD+12    25    446   86   1772 002225.45 +132856.8  6.25  42       Psc
  1835 BD-13    60    452   88   1803 002251.55 -121234.5  6.39   9       Cet
  1967 BD+37    58    472   90        002402.0  +383438.   7.39     R     And
  2011 BD+61    69    481   93   1960 002447.49 +614951.8  5.38  12       Cas
  2051 CP-72    35               1902 002402.87 -720543.3 11.21     ksi   Tuc
  2114 BD+01    57    496   97   2006 002524.22 +015623.0  5.77  44       Psc
  2140 BD+06    43    502        2025 002541.89 +074128.4  6.77  45       Psc
  2151 CP-77    16    503   98   2021 002539.20 -771518.1  2.82     bet   Hyi
  2261 CD-42   116    519   99   2081 002616.87 -421818.4  2.40     alf   Phe
  2262 CD-44   101    516  100   2072 002612.12 -434047.7  3.93     kap   Phe
  2273 BD-00    63    523  101   2100 002637.37 -000258.3  6.16  10       Cet
  2410 BD+18    51    542        2213 002758.48 +193050.7  6.40  46       Psc
  2411 BD+17    55    543  103   2219 002802.84 +175335.1  5.01  47 TV    Psc
  2429 CD-33   152    544  105   2210 002755.71 -330025.4  4.86     eta   Scl
  2436 BD+15    63    548  106   2224 002812.69 +162642.4  6.05  48       Psc
  2628 BD+28    75    583  114   2355 003007.34 +294506.1  5.20  28       And
  2637 BD-04    54    584  117   2353 003002.35 -035726.3  5.72  12       Cet
  2729 BD+65    67    609  121   2474 003125.20 +663110.7  6.18  13       Cas
  2772 BD+53    82    618  123   2505 003146.32 +543120.4  4.74  14 lam   Cas
  2834 CD-49   115    619  125   2472 003124.86 -484812.8  4.76     lam01 Phe
  2884 CP-63    50A   625  126   2484 003132.56 -625729.1  4.36     bet01 Tuc
  2885 CP-63    50C   626  127   2487 003133.36 -625755.6  4.53     bet02 Tuc
  2905 BD+62   102    645  130   2599 003259.99 +625554.4  4.17  15 kap   Cas
  2910 BD+19    79    641  131   2568 003235.40 +201740.0  5.38  52       Psc
  2913 BD+06    64    636  132   2548 003223.75 +065719.6  5.69  51       Psc
  3003 CP-63    52    651  136   2578 003243.79 -630153.0  5.07     bet03 Tuc
  3038 BD+65    70    671  137   2707 003424.89 +664501.3  6.47  16       Cas
  3112 CP-71    20    667  139   2629 003323.23 -711558.4  6.11     the   Tuc
