video_id,title,object_name,ra,dec,is_moving,category
qzFKgsPpI3A,"Once Around Barnards Loop","Barnards Loop",81.87500000000001,-3.966666666666667,false,fixed
TrEDNXYnygY,"Once Around Janus and Epimetheus","Janus and Epimetheus",,,true,moving
sI_ZR2t1Xog,"Once Around Schwassmann-Wachmann-1","Schwassmann-Wachmann-1",,,true,moving
ZnKXuy3THcU,"Once Around Iota Horologii","Iota Horologii",40.6394444495925,-50.800293093935,false,fixed
1h6y6L_uIWE,"Once Around Tychos Supernova","Tychos Supernova",6.339583333333334,64.14083333333333,false,fixed
h7AbMQFwojM,"Once Around the Moons of Neptune","the Moons of Neptune",,,true,moving
3eoqEq-5x-c,"Once Around the Moons of Mars","the Moons of Mars",,,true,moving
ba9Z3JG12Ps,"Once Around the Horsehead Nebula","the Horsehead Nebula",85.24583333333334,-2.4583333333333335,false,fixed
ko9q8SgsZh4,"Once Around The Orion Nebula","The Orion Nebula",83.82000000000001,-5.3875,false,fixed
X-vey2P7xUc,"Once Around The Helix Nebula","The Helix Nebula",337.41060585298,-20.83715201178,false,fixed
kvPhQdQW6m8,"Once Around Nova 1934 DQ Herculis","Nova 1934 DQ Herculis",271.87604599661,45.85904577552,false,fixed
G7sCv6biYnE,"Once Around GK Persei","GK Persei",52.80004119305,43.90429720867,false,fixed
HsVv8vWgDBI,"Once Around Westerlund 1","Westerlund 1",251.76000000000005,-45.85194444444445,false,fixed
G3Thlzt2gMc,"Once Around Varuna","Varuna",,,true,moving
8t00exL7LLM,"Once Around Ixion","Ixion",,,true,moving
8PQv-mVU_48,"Once Around Gonggong","Gonggong",,,true,moving
tWzYNMLFZo4,"Once Around Achlys","Achlys",,,true,moving
i3_7D_6btRc,"Once Around Orcus","Orcus",,,true,moving
CyuezQh0gcQ,"Once Around Gliese 876","Gliese 876",343.3197190985358,-14.26369557005139,false,fixed
uULlBgqG6aA,"Once Around Makemake","Makemake",,,true,moving
vA4q0zDhyoM,"Once Around Gliese 229","Gliese 229",92.64422889923625,-21.86462676470167,false,fixed
urGaNgShdBQ,"Once Around Quaoar","Quaoar",,,true,moving
rTf1fyTKZIY,"Once Around Gliese 581","Gliese 581",229.8617789114604,-7.722274860407222,false,fixed
BgfADu5ouhc,"Once Around Huamea","Huamea",,,true,moving
ZcyUeQ3JWBg,"Once Around Eris","Eris",,,true,moving
